date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Dec 25-27,,"$76,273,706",+43%,"$83,350,189",+49.6%,18,A Few Good Men,52
Dec 18-20,,"$53,340,937",-1.7%,"$55,699,808",+0.2%,14,A Few Good Men,51
Dec 11-13,,"$54,288,926",-6.2%,"$55,581,775",-5.9%,16,A Few Good Men,50
Dec 4-6,Post-Thanksgiving,"$57,878,203",-39.1%,"$59,055,311",-39.2%,16,Home Alone 2: Lost in New York,49
Nov 27-29,Thanksgiving 3-Day,"$95,071,935",+31.6%,"$97,079,671",+31%,15,Home Alone 2: Lost in New York,48
Nov 26-29,Thanksgiving 4-Day,"$76,527",-,"$76,527",-,1,Unforgiven,48
Nov 25-29,Thanksgiving 5-Day,"$90,120",-,"$90,120",-,1,Unforgiven,48
Nov 20-22,,"$72,256,479",+24.7%,"$74,132,198",+22%,16,Home Alone 2: Lost in New York,47
Nov 13-15,,"$57,950,758",+46.5%,"$60,768,786",+44.4%,18,Dracula,46
Nov 6-8,,"$39,566,159",+40.5%,"$42,092,955",+34.7%,18,Passenger 57,45
Oct 30-Nov 1,,"$28,163,719",-23.3%,"$31,248,035",-24%,17,Under Siege,44
Oct 23-25,,"$36,736,075",-12.2%,"$41,123,760",-10%,17,Under Siege,43
Oct 16-18,,"$41,832,581","+6,197.9%","$45,668,288","+6,775.4%",17,Under Siege,42
Oct 9-12,Indig. Peoples' Day wknd,"$51,338,353",-,"$55,593,491",-,17,Under Siege,41
Oct 9-11,,"$664,231",-98.4%,"$664,231",-98.5%,5,Unforgiven,41
Oct 2-4,,"$41,034,513",+3.7%,"$45,772,415",+3.5%,17,The Last of the Mohicans,40
Sep 25-27,,"$39,580,764",+20.6%,"$44,229,974",+16.8%,17,The Last of the Mohicans,39
Sep 18-20,,"$32,832,734",+10.8%,"$37,855,791",+13.8%,20,Sneakers,38
Sep 11-13,,"$29,629,258",+404%,"$33,259,247",+465.7%,19,Sneakers,37
Sep 4-7,Labor Day wknd,"$38,245,606",-,"$46,138,714",-,18,Honeymoon in Vegas,36
Sep 4-6,,"$5,878,961",-82.9%,"$5,878,961",-85.1%,2,Unforgiven,36
Aug 28-30,,"$34,455,346",-5.3%,"$39,402,279",-4.9%,16,Honeymoon in Vegas,35
Aug 21-23,,"$36,395,662",-27.4%,"$41,451,936",-26.8%,19,Unforgiven,34
Aug 14-16,,"$50,140,379",-7.5%,"$56,647,865",-5.2%,18,Unforgiven,33
Aug 7-9,,"$54,213,861",+10.2%,"$59,748,418",+6.5%,19,Unforgiven,32
Jul 31-Aug 2,,"$49,191,333",-2.6%,"$56,091,578",+1.3%,18,Death Becomes Her,31
Jul 24-26,,"$50,516,279",-6.9%,"$55,396,321",-9.9%,14,Mo' Money,30
Jul 17-19,,"$54,238,695",-19.1%,"$61,503,749",-14%,14,"Honey, I Blew Up the Kid",29
Jul 10-12,,"$67,049,163",-4.2%,"$71,480,414",-0.9%,14,A League of Their Own,28
Jul 3-5,,"$69,963,243",+8.2%,"$72,120,474",+8%,13,Batman Returns,27
Jun 26-28,,"$64,634,926",-20.4%,"$66,759,512",-19.6%,13,Batman Returns,26
Jun 19-21,,"$81,225,132",+63%,"$83,020,811",+60.1%,13,Batman Returns,25
Jun 12-14,,"$49,824,429",-16.1%,"$51,853,959",-15.7%,13,Patriot Games,24
Jun 5-7,,"$59,382,788",+4.7%,"$61,500,529",+3.7%,13,Patriot Games,23
May 29-31,,"$56,721,978",+75.7%,"$59,282,184",+83.6%,15,Lethal Weapon 3,22
May 22-24,,"$32,288,558",-31.6%,"$32,288,558",-34.4%,4,Alien³,21
May 22-25,Memorial Day wknd,"$86,077,997",-,"$89,253,336",-,15,Lethal Weapon 3,21
May 15-17,,"$47,190,333",+139.8%,"$49,187,289",+76.6%,18,Lethal Weapon 3,20
May 8-10,,"$19,679,091",-8.9%,"$27,852,873",-8.6%,24,Basic Instinct,19
May 1-3,,"$21,593,829",-36.4%,"$30,480,697",-32.5%,25,Basic Instinct,18
Apr 24-26,,"$33,951,863",-23.7%,"$45,180,394",-15.9%,21,Basic Instinct,17
Apr 17-20,Easter wknd,"$7,337,575",-,"$7,337,575",-,1,Basic Instinct,16
Apr 17-19,,"$44,513,288",-13.3%,"$53,750,213",-7.1%,20,Basic Instinct,16
Apr 10-12,,"$51,324,941",-6%,"$57,832,499",-3.9%,19,Sleepwalkers,15
