date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
"Dec 30-Jan 2, 1978",New Year's long wknd,-,-,-,-,-,-,52
"Dec 30-Jan 1, 1978",,-,-,-,-,-,-,52
Dec 23-26,Christmas long wknd,"$5,564,559",-,"$5,564,559",-,2,Close Encounters of the Third Kind,51
Dec 23-25,,-,-,-,-,-,-,51
Dec 16-18,,"$10,102,221",+776.2%,"$10,102,221",+776.2%,3,Close Encounters of the Third Kind,50
Dec 9-11,,"$1,152,953",-27.7%,"$1,152,953",-27.7%,1,Star Wars: Episode IV - A New Hope,49
Dec 2-4,Post-Thanksgiving,"$1,595,568",-35.5%,"$1,595,568",-35.5%,1,Star Wars: Episode IV - A New Hope,48
Nov 25-27,Thanksgiving 3-Day,"$2,472,656",+26.9%,"$2,472,656",+26.9%,1,Star Wars: Episode IV - A New Hope,47
Nov 18-20,,"$1,949,157",-14.1%,"$1,949,157",-14.1%,1,Star Wars: Episode IV - A New Hope,46
Nov 11-13,,"$2,269,052",-13.6%,"$2,269,052",-13.6%,1,Star Wars: Episode IV - A New Hope,45
Nov 4-6,,"$2,626,914",-20.2%,"$2,626,914",-20.2%,1,Star Wars: Episode IV - A New Hope,44
Oct 28-30,,"$3,292,879",-25.7%,"$3,292,879",-25.7%,1,Star Wars: Episode IV - A New Hope,43
Oct 21-23,,"$4,431,635",-,"$4,431,635",-,2,Star Wars: Episode IV - A New Hope,42
Oct 14-16,,-,-,-,-,-,-,41
Oct 7-9,,"$2,040,920",-,"$2,040,920",-,1,"Oh, God!",40
Oct 7-10,Indig. Peoples' Day wknd,-,-,-,-,-,-,40
Sep 23-25,,-,-,-,-,-,-,38
Sep 16-18,,-,-,-,-,-,-,37
Sep 2-5,Labor Day wknd,"$7,737,847",-,"$7,737,847",-,1,Star Wars: Episode IV - A New Hope,35
Aug 26-28,,"$5,239,535",-11.3%,"$5,239,535",-11.3%,1,Star Wars: Episode IV - A New Hope,34
Aug 19-21,,"$5,908,751",-11.9%,"$5,908,751",-11.9%,1,Star Wars: Episode IV - A New Hope,33
Aug 12-14,,"$6,705,755",-6.8%,"$6,705,755",-6.8%,1,Star Wars: Episode IV - A New Hope,32
Aug 5-7,,"$7,195,573",+15.4%,"$7,195,573",+15.4%,1,Star Wars: Episode IV - A New Hope,31
Jul 29-31,,"$6,234,376",-10.9%,"$6,234,376",-10.9%,1,Star Wars: Episode IV - A New Hope,30
Jul 22-24,,"$7,000,644",+2.8%,"$7,000,644",+2.8%,1,Star Wars: Episode IV - A New Hope,29
Jul 15-17,,"$6,806,951",+9.8%,"$6,806,951",+9.8%,1,Star Wars: Episode IV - A New Hope,28
Jul 8-10,,"$6,197,462",-,"$6,197,462",-,1,Star Wars: Episode IV - A New Hope,27
Jul 1-4,July 4th long wknd,"$7,452,980",-,"$7,452,980",-,1,Star Wars: Episode IV - A New Hope,26
Jul 1-3,,-,-,-,-,-,-,26
Jun 24-26,,"$4,885,463",-70.1%,"$4,885,463",-70.1%,1,Star Wars: Episode IV - A New Hope,25
Jun 17-19,,"$16,358,821",-,"$16,358,821",-,3,The Deep,24
Jun 10-12,,-,-,-,-,-,-,23
Jun 3-5,,-,-,-,-,-,-,22
May 27-30,Memorial Day wknd,"$1,554,475",-,"$1,554,475",-,1,Star Wars: Episode IV - A New Hope,21
May 20-22,,-,-,-,-,-,-,20
Mar 18-20,,-,-,-,-,-,-,11
Mar 11-13,,-,-,-,-,-,-,10
Mar 4-6,,-,-,-,-,-,-,9
Feb 25-27,,-,-,-,-,-,-,8
