date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Dec 26-28,,"$169,982,431",+119.5%,"$201,594,006",+127.8%,85,Marley & Me,52
Dec 19-21,,"$77,424,767",-1.4%,"$88,506,299",-3.5%,92,Yes Man,51
Dec 12-14,,"$78,517,597",+6.9%,"$91,696,655",+11.2%,105,The Day the Earth Stood Still,50
Dec 5-7,Post-Thanksgiving,"$73,440,488",-51.8%,"$82,434,771",-49.3%,115,Four Christmases,49
Nov 28-30,Thanksgiving 3-Day,"$152,333,947",-1.6%,"$162,603,106",-1.3%,105,Four Christmases,48
Nov 27-30,Thanksgiving 4-Day,"$185,072,958",-,"$194,205,391",-,53,Four Christmases,48
Nov 26-30,Thanksgiving 5-Day,"$218,303,171",-,"$228,766,509",-,53,Four Christmases,48
Nov 21-23,,"$154,817,872",+14.9%,"$164,744,894",+10.8%,118,Twilight,47
Nov 14-16,,"$134,787,672",+9.2%,"$148,685,590",+4.3%,127,Quantum of Solace,46
Nov 7-9,,"$123,379,106",+78%,"$142,496,307",+62.5%,134,Madagascar: Escape 2 Africa,45
Oct 31-Nov 2,,"$69,307,204",-40.2%,"$87,673,009",-34.8%,140,High School Musical 3: Senior Year,44
Oct 24-26,,"$115,860,151",+44.8%,"$134,501,763",+34.2%,135,High School Musical 3: Senior Year,43
Oct 17-19,,"$79,992,286",-1%,"$100,261,162",-1.6%,131,Max Payne,42
Oct 10-12,,"$80,803,153",-10.8%,"$101,937,331",-10.3%,139,Beverly Hills Chihuahua,41
Oct 10-13,Indig. Peoples' Day wknd,"$91,420,183",-,"$113,091,916",-,60,Beverly Hills Chihuahua,41
Oct 3-5,,"$90,629,110",+10.3%,"$113,697,851",+12.2%,126,Beverly Hills Chihuahua,40
Sep 26-28,,"$82,148,111",+12.8%,"$101,343,749",+13.5%,125,Eagle Eye,39
Sep 19-21,,"$72,805,930",-11.4%,"$89,307,263",-11.6%,137,Lakeview Terrace,38
Sep 12-14,,"$82,159,485",+77.3%,"$101,041,980",+48.6%,131,Burn After Reading,37
Sep 5-7,,"$46,350,874",-32.4%,"$68,005,476",-30.7%,126,Bangkok Dangerous,36
Aug 29-31,,"$68,515,837",-17.1%,"$98,191,562",-7.5%,121,Tropic Thunder,35
Aug 29-Sep 1,Labor Day wknd,"$85,925,307",-,"$123,794,714",-,120,Tropic Thunder,35
Aug 22-24,Beijing Olympics,"$82,667,170",-22.3%,"$106,158,138",-15.1%,120,Tropic Thunder,34
Aug 15-17,Beijing Olympics,"$106,423,430",-1.8%,"$125,105,639",+2.9%,123,Tropic Thunder,33
Aug 8-10,Beijing Olympics,"$108,322,998",-23.1%,"$121,575,179",-20.6%,123,The Dark Knight,32
