date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Dec 27-29,,"$52,846,764",+54.3%,"$58,468,582",+53.4%,16,Rocky IV,52
Dec 20-22,,"$34,245,727",+9.3%,"$38,107,722",+17.1%,16,Rocky IV,51
Dec 13-15,,"$31,339,482",-11.9%,"$32,551,051",-11.5%,15,Rocky IV,50
Dec 6-8,Post-Thanksgiving,"$35,555,195",-15.1%,"$36,763,906",-18%,15,Rocky IV,49
Nov 29-Dec 1,Thanksgiving 3-Day,"$41,900,136",+108%,"$44,845,909",+82.5%,14,Rocky IV,48
Nov 28-Dec 1,Thanksgiving 4-Day,"$2,527,914",-,"$2,527,914",-,1,Back to the Future,48
Nov 27-Dec 1,Thanksgiving 5-Day,"$2,808,714",-,"$2,808,714",-,1,Back to the Future,48
Nov 22-24,,"$20,148,880",-1.4%,"$24,574,843",+2.7%,15,King Solomon's Mines,47
Nov 15-17,,"$20,444,128",-10%,"$23,925,943",-10.2%,15,Once Bitten,46
Nov 8-10,,"$22,720,726",-9%,"$26,653,546",-4.8%,16,Death Wish 3,45
Nov 1-3,,"$24,961,347",+27.8%,"$27,997,053",+29.4%,15,Death Wish 3,44
Oct 25-27,,"$19,524,030",-16.6%,"$21,644,176",-17.5%,13,Jagged Edge,43
Oct 18-20,,"$23,417,097",+682.9%,"$26,237,747",+777.2%,16,Commando,42
Oct 11-13,,"$2,991,033",-88.8%,"$2,991,033",-89.3%,2,Back to the Future,41
Oct 11-14,Indig. Peoples' Day wknd,"$33,316,489",-,"$36,398,418",-,13,Commando,41
Oct 4-6,,"$26,613,895",+20.9%,"$27,877,767",+18.6%,14,Commando,40
Sep 27-29,,"$22,010,983",+48.2%,"$23,503,085",+40.4%,14,Invasion U.S.A.,39
Sep 20-22,,"$14,851,686",-3.9%,"$16,737,307",-3.9%,13,Back to the Future,38
Sep 13-15,,"$15,460,965",-26.1%,"$17,409,785",-24.1%,14,Back to the Future,37
Sep 6-8,,"$20,928,290",+192.7%,"$22,944,320",+220.9%,12,Back to the Future,36
Aug 30-Sep 1,,"$7,149,345",-79.1%,"$7,149,345",-82.8%,1,Back to the Future,35
Aug 30-Sep 2,Labor Day wknd,"$36,335,209",-,"$46,449,252",-,17,Back to the Future,35
Aug 23-25,,"$34,155,177",-10.6%,"$41,630,272",-13.1%,18,Back to the Future,34
Aug 16-18,,"$38,192,041",<0.1%,"$47,913,186",+4.5%,19,Back to the Future,33
Aug 9-11,,"$38,210,293",-9.9%,"$45,853,423",-2.5%,15,Back to the Future,32
Aug 2-4,,"$42,410,790",-10.2%,"$47,024,926",-12.1%,13,Back to the Future,31
Jul 26-28,,"$47,236,810",+3.3%,"$53,512,151",<0.1%,16,National Lampoon's European Vacation,30
Jul 19-21,,"$45,720,730",-1.1%,"$53,509,887",+7.6%,16,Back to the Future,29
Jul 12-14,,"$46,211,513",-7.5%,"$49,717,557",-8.6%,13,Back to the Future,28
Jul 5-7,,"$49,941,548",+9.1%,"$54,403,867",+13.2%,14,Back to the Future,27
Jun 28-30,,"$45,784,656",+9.6%,"$48,073,461",+5.4%,12,Pale Rider,26
Jun 21-23,,"$41,759,606",<0.1%,"$45,629,446",+6.4%,13,Cocoon,25
Jun 14-16,,"$41,759,611",+1%,"$42,887,987",+1.4%,12,Rambo: First Blood Part II,24
Jun 7-9,,"$41,360,456",+4.4%,"$42,310,343",+4.4%,12,Rambo: First Blood Part II,23
May 31-Jun 2,,"$39,602,104",+28.3%,"$40,535,040",+31.3%,12,Rambo: First Blood Part II,22
May 24-26,,"$30,863,331",+87.3%,"$30,863,331",+71.4%,2,Rambo: First Blood Part II,21
May 24-27,Memorial Day wknd,"$58,625,867",-,"$60,072,580",-,12,Rambo: First Blood Part II,21
May 17-19,,"$16,479,296",-8.2%,"$18,011,831",-8.7%,12,Code of Silence,20
May 10-12,,"$17,952,994",-17.4%,"$19,734,479",-18.2%,12,Code of Silence,19
May 3-5,,"$21,725,357",-3.3%,"$24,121,128",-5.3%,14,Code of Silence,18
Apr 26-28,,"$22,462,614",-12.1%,"$25,475,421",-17.9%,13,Stick,17
Apr 19-21,,"$25,556,572",-13.2%,"$31,033,773",-15.4%,15,Police Academy 2: Their First Assignment,16
Apr 12-14,,"$29,436,248",-14.2%,"$36,677,812",-16.3%,16,Police Academy 2: Their First Assignment,15
Apr 5-8,Easter wknd,-,-,-,-,-,-,14
Apr 5-7,,"$34,293,857",-17%,"$43,818,585",-15.4%,18,Police Academy 2: Their First Assignment,14
Mar 29-31,,"$41,333,145",-3.9%,"$51,792,543",+9.4%,17,Police Academy 2: Their First Assignment,13
Mar 22-24,,"$42,988,656",+84%,"$47,332,105",+83.2%,14,Friday the 13th: A New Beginning,12
Mar 15-17,,"$23,368,270",-7.5%,"$25,838,706",-4.2%,16,Beverly Hills Cop,11
Mar 8-10,,"$25,268,720",-8.8%,"$26,982,525",-8.8%,13,Witness,10
Mar 1-3,,"$27,704,420",+7.3%,"$29,591,684",+6.8%,14,Beverly Hills Cop,9
Feb 22-24,,"$25,830,927",-,"$27,714,460",-,12,Beverly Hills Cop,8
Feb 15-17,,-,-,-,-,-,-,7
Feb 15-18,Presidents' Day wknd,"$35,222,619",-,"$40,707,212",-,14,Beverly Hills Cop,7
Feb 8-10,,"$27,809,171",+24.2%,"$30,884,974",+24.2%,14,Beverly Hills Cop,6
Feb 1-3,,"$22,390,237",-3.2%,"$24,870,956",-22.8%,13,Beverly Hills Cop,5
Jan 25-27,,"$23,118,481",+15%,"$32,236,005",+8.2%,22,Beverly Hills Cop,4
Jan 18-21,MLK wknd,-,-,-,-,-,-,3
Jan 18-20,,"$20,097,631",-31.6%,"$29,806,351",-26.9%,32,Beverly Hills Cop,3
Jan 11-13,,"$29,369,163",-22.1%,"$40,749,164",-13%,30,Beverly Hills Cop,2
Jan 4-6,,"$37,687,571","+8,242.1%","$46,853,477","+10,271%",29,Beverly Hills Cop,1
