date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
"Dec 29-Jan 1, 2024",New Year's long wknd,"$129,143,595",-,"$145,153,773",-,53,Wonka,52
Dec 29-31,,"$100,476,963",+17%,"$112,880,386",+19.4%,55,Wonka,52
Dec 22-25,Christmas long wknd,"$136,914,224",-,"$157,623,589",-,48,Aquaman and the Lost Kingdom,51
Dec 22-24,,"$85,845,470",+24.4%,"$94,549,000",+24.5%,56,Aquaman and the Lost Kingdom,51
Dec 15-17,,"$68,999,014",+16.3%,"$75,934,187",+7.8%,58,Wonka,50
Dec 8-10,,"$59,345,395",-31.5%,"$70,426,430",-27.5%,61,The Boy and the Heron,49
Dec 1-3,Post-Thanksgiving,"$86,665,445",-20.7%,"$97,128,796",-16.3%,54,Renaissance: A Film by Beyoncé,48
Nov 24-26,Thanksgiving 3-Day,"$109,288,380",-1.4%,"$115,988,162",+0.4%,55,The Hunger Games: The Ballad of Songbirds & Snakes,47
Nov 23-26,Thanksgiving 4-Day,"$130,732,631",-,"$138,577,426",-,39,The Hunger Games: The Ballad of Songbirds & Snakes,47
Nov 22-26,Thanksgiving 5-Day,"$163,905,713",-,"$173,232,838",-,43,The Hunger Games: The Ballad of Songbirds & Snakes,47
Nov 17-19,,"$110,852,405",+36.2%,"$115,500,888",+32%,56,The Hunger Games: The Ballad of Songbirds & Snakes,46
Nov 10-12,,"$81,360,032",+44.9%,"$87,494,031",+38.6%,65,The Marvels,45
Nov 3-5,,"$56,142,348",-54.2%,"$63,146,478",-50%,62,Five Nights at Freddy's,44
Oct 27-29,,"$122,529,750",+52.8%,"$126,269,880",+50%,66,Five Nights at Freddy's,43
Oct 20-22,,"$80,214,659",-37.6%,"$84,171,424",-36.7%,71,Taylor Swift: The Eras Tour,42
Oct 13-15,,"$128,506,479",+94.8%,"$132,931,334",+82.1%,62,Taylor Swift: The Eras Tour,41
Oct 6-9,Indig. Peoples' Day wknd,"$74,776,095",-,"$82,603,687",-,49,The Exorcist: Believer,40
Oct 6-8,,"$65,970,473",-15.3%,"$72,982,298",-14.8%,67,The Exorcist: Believer,40
Sep 29-Oct 1,,"$77,879,020",+83.9%,"$85,664,472",+64.3%,67,PAW Patrol: The Mighty Movie,39
Sep 22-24,,"$42,349,485",-24.4%,"$52,149,390",-17%,71,The Nun II,38
Sep 15-17,,"$56,042,286",-31.4%,"$62,797,562",-28.9%,62,The Nun II,37
Sep 8-10,,"$81,688,220",+3.1%,"$88,384,497",-1%,62,The Nun II,36
Sep 1-3,,"$79,244,392",+1.6%,"$89,234,435",-1.9%,63,The Equalizer 3,35
Sep 1-4,Labor Day wknd,"$101,367,979",-,"$115,071,858",-,61,The Equalizer 3,35
Aug 25-27,,"$78,022,576",-15%,"$90,934,182",-6.6%,71,Gran Turismo,34
Aug 18-20,,"$91,834,103",-15.4%,"$97,390,629",-13%,62,Blue Beetle,33
Aug 11-13,,"$108,489,585",-37.2%,"$111,923,170",-36.7%,60,Barbie,32
Aug 4-6,,"$172,767,141",-17.6%,"$176,729,294",-17.3%,57,Barbie,31
Jul 28-30,,"$209,751,460",-31.9%,"$213,643,074",-31.3%,54,Barbie,30
Jul 21-23,,"$307,805,201",+129.4%,"$310,952,297",+121.4%,54,Barbie,29
Jul 14-16,,"$134,207,030",+10.9%,"$140,477,074",+7.8%,55,Mission: Impossible - Dead Reckoning Part One,28
Jul 7-9,,"$121,030,650",-0.9%,"$130,319,426",+1.6%,56,Insidious: The Red Door,27
Jun 30-Jul 4,July 4th long wknd,"$184,963,868",-,"$196,326,530",-,30,Indiana Jones and the Dial of Destiny,26
Jun 30-Jul 2,,"$122,142,874",+15.2%,"$128,263,958",+17.6%,48,Indiana Jones and the Dial of Destiny,26
Jun 23-25,,"$106,020,773",-34.3%,"$109,106,332",-33.4%,51,Spider-Man: Across the Spider-Verse,25
Jun 16-18,,"$161,297,087",-1.4%,"$163,789,499",-0.9%,52,The Flash,24
Jun 9-11,,"$163,527,157",-19.6%,"$165,338,293",-19.4%,56,Transformers: Rise of the Beasts,23
Jun 2-4,,"$203,338,486",+26.4%,"$205,180,410",+25.8%,55,Spider-Man: Across the Spider-Verse,22
May 26-29,Memorial Day wknd,"$200,810,396",-,"$203,750,914",-,61,The Little Mermaid,21
May 26-28,,"$160,808,155",+35.4%,"$163,143,062",+34%,62,The Little Mermaid,21
May 19-21,,"$118,739,905",+24.8%,"$121,759,667",+20.8%,58,Fast X,20
May 12-14,,"$95,148,648",-39%,"$100,807,312",-37%,58,Guardians of the Galaxy Vol. 3,19
May 5-7,,"$156,015,546",+76.1%,"$159,907,355",+59.6%,53,Guardians of the Galaxy Vol. 3,18
Apr 28-30,,"$88,589,524",-25.3%,"$100,199,383",-19.8%,69,The Super Mario Bros. Movie,17
Apr 21-23,,"$118,529,087",-16.9%,"$124,942,668",-15.1%,65,The Super Mario Bros. Movie,16
Apr 14-16,,"$142,633,921",-28.9%,"$147,089,361",-28.2%,72,The Super Mario Bros. Movie,15
Apr 7-10,Easter wknd,"$227,011,315",-,"$231,916,311",-,39,The Super Mario Bros. Movie,14
Apr 7-9,,"$200,569,722",+118.5%,"$204,788,826",+109.2%,70,The Super Mario Bros. Movie,14
Mar 31-Apr 2,,"$91,814,122",-18.2%,"$97,914,730",-16%,67,Dungeons & Dragons: Honor Among Thieves,13
Mar 24-26,,"$112,191,657",+28.8%,"$116,624,505",+26.5%,67,John Wick: Chapter 4,12
Mar 17-19,,"$87,087,315",-23.2%,"$92,184,348",-21.9%,64,Shazam! Fury of the Gods,11
Mar 10-12,,"$113,369,708",+0.8%,"$118,089,113",+0.4%,70,Scream VI,10
Mar 3-5,,"$112,469,994",+27%,"$117,601,639",+24.8%,78,Creed III,9
Feb 24-26,,"$88,586,462",-36.1%,"$94,245,237",-35%,70,Ant-Man and the Wasp: Quantumania,8
Feb 17-20,Presidents' Day wknd,"$159,948,829",-,"$166,970,765",-,57,Ant-Man and the Wasp: Quantumania,7
Feb 17-19,,"$138,728,599",+190.1%,"$145,015,407",+175.5%,57,Ant-Man and the Wasp: Quantumania,7
Feb 10-12,,"$47,814,469",-33.8%,"$52,628,126",-35.3%,61,Magic Mike's Last Dance,6
Feb 3-5,,"$72,172,820",+15.9%,"$81,333,946",+12.3%,60,Knock at the Cabin,5
Jan 27-29,,"$62,261,869",-12%,"$72,456,636",-2.4%,63,Avatar: The Way of Water,4
Jan 20-22,,"$70,766,896",-28.4%,"$74,204,241",-28%,56,Avatar: The Way of Water,3
Jan 13-15,,"$98,902,358",-5.1%,"$103,015,764",-3%,48,Avatar: The Way of Water,2
Jan 13-16,MLK wknd,"$119,958,973",-,"$124,779,112",-,43,Avatar: The Way of Water,2
Jan 6-8,,"$104,267,030",+2.1%,"$106,246,109",+2.9%,44,Avatar: The Way of Water,1
