date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
"Dec 29-Jan 1, 1990",New Year's long wknd,"$69,247,411",-,"$80,922,672",-,23,The War of the Roses,52
Dec 29-31,,"$6,645,080",+100.6%,"$6,645,080",+100.6%,2,Back to the Future Part II,52
Dec 22-25,Christmas long wknd,"$37,598,688",-,"$45,702,925",-,24,National Lampoon's Christmas Vacation,51
Dec 22-24,,"$3,312,750",-90%,"$3,312,750",-91.4%,2,Back to the Future Part II,51
Dec 15-17,,"$33,020,414",-24.5%,"$38,559,024",-14.7%,18,National Lampoon's Christmas Vacation,50
Dec 8-10,,"$43,716,383",-9.5%,"$45,193,279",-9.1%,16,The War of the Roses,49
Dec 1-3,Post-Thanksgiving,"$48,323,085",-38.1%,"$49,740,789",-37.8%,14,Back to the Future Part II,48
Nov 24-26,Thanksgiving 3-Day,"$78,085,795",+50%,"$79,985,363",+45.5%,14,Back to the Future Part II,47
Nov 23-26,Thanksgiving 4-Day,"$36,408,317",-,"$36,408,317",-,3,Back to the Future Part II,47
Nov 22-26,Thanksgiving 5-Day,"$43,721,878",-,"$43,721,878",-,3,Back to the Future Part II,47
Nov 17-19,,"$52,044,039",+58.4%,"$54,974,767",+36.9%,18,Harlem Nights,46
Nov 10-12,,"$32,865,537",-2.6%,"$40,160,246",-0.2%,23,Look Who's Talking,45
Nov 3-5,,"$33,758,051",+3.5%,"$40,251,434",+3.6%,19,Look Who's Talking,44
Oct 27-29,,"$32,628,277",-15.2%,"$38,845,271",-7.7%,20,Look Who's Talking,43
Oct 20-22,,"$38,482,825",+5.3%,"$42,071,669",+9.6%,15,Look Who's Talking,42
Oct 13-15,,"$36,551,171",+958.3%,"$38,393,037","+1,011.6%",13,Look Who's Talking,41
Oct 6-9,Indig. Peoples' Day wknd,"$30,862,955",-,"$35,935,567",-,17,Black Rain,40
Oct 6-8,,"$3,453,850",-87.5%,"$3,453,850",-89.2%,2,Parenthood,40
Sep 29-Oct 1,,"$27,672,339",-17.4%,"$31,836,738",-12%,15,Black Rain,39
Sep 22-24,,"$33,489,412",+3.4%,"$36,178,108",+3.9%,17,Black Rain,38
Sep 15-17,,"$32,380,301",+11%,"$34,828,917",-1.4%,16,Sea of Love,37
