date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Nov 21-23,,-,-,-,-,-,-,47
Nov 14-16,,"$66,951,083",-8.8%,"$73,219,077",-10%,61,Now You See Me: Now You Don't,46
Nov 7-9,,"$73,413,133",+53.4%,"$81,327,268",+41.2%,67,Predator: Badlands,45
Oct 31-Nov 2,,"$47,863,205",-30.7%,"$57,594,497",-24%,73,Black Phone 2,44
Oct 24-26,,"$69,098,940",+13.2%,"$75,749,311",+11.6%,63,Chainsaw Man - The Movie: Reze Arc,43
Oct 17-19,,"$61,035,645",-5.6%,"$67,848,855",-3.4%,60,Black Phone 2,42
Oct 10-12,,"$64,651,998",-12.7%,"$70,229,438",-14.2%,61,Tron: Ares,41
Oct 10-13,Indig. Peoples' Day wknd,"$73,616,264",-,"$80,220,387",-,45,Tron: Ares,41
Oct 3-5,,"$74,061,288",+7.4%,"$81,842,579",+9.8%,68,Taylor Swift: The Official Release Party of a Showgirl,40
Sep 26-28,,"$68,937,710",+5.5%,"$74,556,391",+1.1%,72,One Battle After Another,39
Sep 19-21,,"$65,350,918",-53.2%,"$73,773,923",-49.9%,73,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,38
Sep 12-14,,"$139,769,334",+18.6%,"$147,356,801",+18.3%,81,Demon Slayer: Kimetsu no Yaiba- The Movie - Infinity Castle,37
Sep 5-7,,"$117,883,579",+112.1%,"$124,595,574",+93.4%,78,The Conjuring: Last Rites,36
Aug 29-31,,"$55,577,329",-19.1%,"$64,428,412",-18.1%,77,Weapons,35
Aug 29-Sep 1,Labor Day wknd,"$70,046,022",-,"$81,744,253",-,54,Weapons,35
Aug 22-24,,"$68,660,542",-17.1%,"$78,633,862",-13.2%,77,KPop Demon Hunters,34
Aug 15-17,,"$82,836,813",-35%,"$90,640,595",-30.9%,63,Weapons,33
Aug 8-10,,"$127,452,509",+9.3%,"$131,237,706",+9.4%,58,Weapons,32
Aug 1-3,,"$116,638,344",-35.1%,"$119,907,058",-35.3%,58,The Fantastic Four: First Steps,31
Jul 25-27,,"$179,752,257",+37.5%,"$185,386,850",+38.1%,63,The Fantastic Four: First Steps,30
Jul 18-20,,"$130,709,710",-34.5%,"$134,195,217",-33.3%,64,Superman,29
Jul 11-13,,"$199,462,019",+31%,"$201,155,711",+29.3%,60,Superman,28
Jul 4-6,,"$152,305,936",+22.7%,"$155,569,900",+22.1%,57,Jurassic World: Rebirth,27
Jun 27-29,,"$124,133,275",+3.6%,"$127,368,091",+1.6%,56,F1: The Movie,26
Jun 20-22,,"$119,870,683",-19.2%,"$125,374,734",-18.4%,61,How to Train Your Dragon,25
Jun 13-15,,"$148,304,965",+41.3%,"$153,688,080",+36.3%,56,How to Train Your Dragon,24
Jun 6-8,,"$104,961,906",-26.7%,"$112,792,328",-23.3%,61,Lilo & Stitch,23
May 30-Jun 1,,"$143,131,773",-45.5%,"$147,027,088",-44.3%,61,Lilo & Stitch,22
May 23-26,Memorial Day wknd,"$327,992,319",-,"$330,174,663",-,49,Lilo & Stitch,21
May 23-25,,"$262,657,485",+158.1%,"$264,046,718",+152%,56,Lilo & Stitch,21
May 16-18,,"$101,781,486",+26.3%,"$104,774,915",+24.7%,77,Final Destination: Bloodlines,20
May 9-11,,"$80,566,863",-42.9%,"$84,033,068",-41.8%,81,Thunderbolts*,19
May 2-4,,"$141,006,550",<0.1%,"$144,275,629",-1.6%,74,Thunderbolts*,18
Apr 25-27,,"$140,963,384",+8.9%,"$146,688,127",+8.1%,74,Sinners,17
Apr 18-21,Easter wknd,"$147,818,724",-,"$154,405,222",-,41,Sinners,16
Apr 18-20,,"$129,412,553",-9.8%,"$135,751,407",-8.4%,68,Sinners,16
Apr 11-13,,"$143,400,821",-27.2%,"$148,268,683",-26.8%,62,A Minecraft Movie,15
Apr 4-6,,"$196,879,443",+184.3%,"$202,439,396",+160.6%,71,A Minecraft Movie,14
Mar 28-30,,"$69,253,013",+3%,"$77,682,230",+3.9%,76,A Working Man,13
Mar 21-23,,"$67,236,935",+47.8%,"$74,759,363",+43.2%,76,Snow White,12
Mar 14-16,,"$45,488,735",-6.3%,"$52,196,600",-6.6%,75,Novocaine,11
Mar 7-9,,"$48,544,958",+7.6%,"$55,891,995",+2.6%,76,Mickey 17,10
Feb 28-Mar 2,,"$45,109,321",-35%,"$54,474,748",-30.1%,71,Captain America: Brave New World,9
Feb 21-23,,"$69,415,080",-51.8%,"$77,977,154",-49.4%,68,Captain America: Brave New World,8
Feb 14-16,,"$144,011,196",+210.9%,"$154,079,762",+183.9%,70,Captain America: Brave New World,7
Feb 14-17,Presidents' Day wknd,"$167,446,023",-,"$179,524,494",-,54,Captain America: Brave New World,7
Feb 7-9,,"$46,315,672",-38%,"$54,280,219",-37%,72,Dog Man,6
Jan 31-Feb 2,,"$74,758,433",+41%,"$86,191,302",+33.5%,67,Dog Man,5
Jan 24-26,,"$53,009,950",-23.6%,"$64,538,641",-16.9%,58,Flight Risk,4
Jan 17-20,MLK wknd,"$84,594,778",-,"$94,293,019",-,52,Mufasa: The Lion King,3
Jan 17-19,,"$69,427,695",-2.2%,"$77,670,440",-1.1%,66,Mufasa: The Lion King,3
Jan 10-12,,"$70,973,261",-28.2%,"$78,558,448",-24.4%,61,Den of Thieves: Pantera,2
Jan 3-5,,"$98,801,587",-38%,"$103,945,999",-39.3%,61,Mufasa: The Lion King,1
