date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
Dec 27-29,,"$90,054,966",+26.7%,"$109,551,240",+38.7%,28,Michael,52
Dec 20-22,,"$71,079,468",+15.1%,"$79,003,280",+24.1%,20,Beavis and Butt-Head Do America,51
Dec 13-15,,"$61,780,101",+14.6%,"$63,666,510",+15.7%,17,Jerry Maguire,50
Dec 6-8,Post-Thanksgiving,"$53,917,380",-49.6%,"$55,039,211",-49.1%,18,101 Dalmatians,49
Nov 29-Dec 1,Thanksgiving 3-Day,"$106,879,034",+16.7%,"$108,128,486",+16.7%,18,101 Dalmatians,48
Nov 28-Dec 1,Thanksgiving 4-Day,"$359,384",-,"$359,384",-,1,Independence Day,48
Nov 27-Dec 1,Thanksgiving 5-Day,"$410,864",-,"$410,864",-,1,Independence Day,48
Nov 22-24,,"$91,567,605",+13.7%,"$92,648,113",+12.7%,16,Star Trek: First Contact,47
Nov 15-17,,"$80,546,983",+18.9%,"$82,233,429",+13%,16,Space Jam,46
Nov 8-10,,"$67,756,760",+42.7%,"$72,775,753",+34.7%,20,Ransom,45
Nov 1-3,,"$47,475,297",+6.9%,"$54,015,871",+8.3%,21,Romeo + Juliet,44
Oct 25-27,,"$44,417,511",-9.9%,"$49,853,574",-5.3%,21,Sleepers,43
Oct 18-20,,"$49,320,645",-2.8%,"$52,656,481",-3.1%,19,Sleepers,42
Oct 11-13,,"$50,747,255",+15.1%,"$54,354,280",+12%,23,The Ghost and the Darkness,41
Oct 11-14,Indig. Peoples' Day wknd,"$1,439,753",-,"$1,439,753",-,1,Independence Day,41
Oct 4-6,,"$44,073,815",+6.8%,"$48,549,243",+5.9%,20,The First Wives Club,40
Sep 27-29,,"$41,257,611",-6.6%,"$45,830,105",-7.1%,21,The First Wives Club,39
Sep 20-22,,"$44,173,203",+32.5%,"$49,319,835",+13.4%,20,The First Wives Club,38
Sep 13-15,,"$33,340,470",-6.9%,"$43,490,451",+3.2%,21,Maximum Risk,37
Sep 6-8,,"$35,811,017",+590%,"$42,144,489",+712.1%,17,Bulletproof,36
Aug 30-Sep 1,,"$5,189,858",-89.9%,"$5,189,858",-92.2%,2,Independence Day,35
Aug 30-Sep 2,Labor Day wknd,"$62,626,184",-,"$80,584,172",-,24,The Crow: City of Angels,35
Aug 23-25,,"$51,551,710",-5.2%,"$66,517,040",-2.8%,27,The Island of Dr. Moreau,34
Aug 16-18,,"$54,394,636",-11.3%,"$68,431,630",-0.3%,23,Tin Cup,33
Aug 9-11,,"$61,317,662",-2.2%,"$68,611,327",-11.7%,20,Jack,32
Aug 2-4,Atlanta Olympics,"$62,677,987",-7.2%,"$77,667,468",-6.6%,26,A Time to Kill,31
Jul 26-28,Atlanta Olympics,"$67,547,982",-7.6%,"$83,162,374",+1.3%,22,A Time to Kill,30
Jul 19-21,Atlanta Olympics,"$73,131,122",-28%,"$82,084,029",-21.8%,19,Independence Day,29
Jul 12-14,,"$101,508,998",-15.1%,"$104,978,057",-13.4%,15,Independence Day,28
Jul 5-7,,"$119,549,834",+22.6%,"$121,205,319",+21.5%,13,Independence Day,27
Jun 28-30,,"$97,519,132",+7.6%,"$99,723,775",+7.7%,14,The Nutty Professor,26
Jun 21-23,,"$90,667,546",+31.4%,"$92,555,148",+31.1%,17,Eraser,25
Jun 14-16,,"$68,983,432",-10.2%,"$70,611,445",-9.4%,15,The Cable Guy,24
Jun 7-9,,"$76,813,873",+1.1%,"$77,966,481",+1%,14,The Rock,23
May 31-Jun 2,,"$75,980,973",-0.5%,"$77,185,903",+1%,14,Mission: Impossible,22
May 24-26,,"$76,396,920",+35.8%,"$76,396,920",+32.3%,4,Mission: Impossible,21
May 24-27,Memorial Day wknd,"$121,612,593",-,"$123,202,152",-,13,Mission: Impossible,21
May 17-19,,"$56,264,125",-5.5%,"$57,725,559",-7.7%,13,Twister,20
May 10-12,,"$59,513,572",+66.1%,"$62,543,661",+44.8%,19,Twister,19
May 3-5,,"$35,826,765",-13.8%,"$43,180,147",-9%,19,The Craft,18
Apr 26-28,,"$41,544,037",-1.2%,"$47,473,708",-0.3%,17,The Quest,17
Apr 19-21,,"$42,051,608",-14%,"$47,604,634",-11.2%,19,Primal Fear,16
Apr 12-14,,"$48,923,712",-4.8%,"$53,585,375",-7.4%,19,Primal Fear,15
Apr 5-8,Easter wknd,-,-,-,-,-,-,14
Apr 5-7,,"$51,365,258",+12.1%,"$57,886,325",+9.9%,18,Primal Fear,14
Mar 29-31,,"$45,832,157",-3.8%,"$52,676,149",-6.8%,20,The Birdcage,13
Mar 22-24,,"$47,629,389",-8.3%,"$56,529,366",-4.2%,24,The Birdcage,12
Mar 15-17,,"$51,912,266",-15.2%,"$59,025,421",-13.4%,22,The Birdcage,11
Mar 8-10,,"$61,193,798",+18.5%,"$68,159,539",+11.9%,21,The Birdcage,10
Mar 1-3,,"$51,632,867",-1.5%,"$60,908,456",-4.8%,21,Up Close & Personal,9
Feb 23-25,,"$52,427,589",-12%,"$63,957,850",-6.2%,20,Rumble in the Bronx,8
Feb 16-19,Presidents' Day wknd,"$70,493,925",-,"$88,968,608",-,27,Broken Arrow,7
Feb 16-18,,"$59,549,684",+20.1%,"$68,221,303",+18.5%,15,Broken Arrow,7
Feb 9-11,,"$49,595,131",+2.3%,"$57,550,441",-5.6%,21,Broken Arrow,6
Feb 2-4,,"$48,469,508",+18.1%,"$60,966,016",+3.1%,22,Black Sheep,5
Jan 26-28,,"$41,028,145",-25.1%,"$59,130,016",-22.2%,25,Mr. Holland's Opus,4
Jan 19-21,,"$54,757,505",-14.5%,"$75,992,156",-12.3%,22,From Dusk Till Dawn,3
Jan 12-14,,"$64,034,655",+1.3%,"$86,694,715",+15.4%,22,12 Monkeys,2
Jan 12-15,MLK wknd,"$75,468,297",-,"$102,682,702",-,23,12 Monkeys,2
Jan 5-7,,"$63,202,684",+305.4%,"$75,125,090",+381.9%,20,12 Monkeys,1
