date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
"Dec 28-Jan 1, 2008",New Year's long wknd,"$232,891,078",-,"$275,032,134",-,74,National Treasure: Book of Secrets,52
Dec 28-30,,"$157,924,807",+6.9%,"$185,938,245",+16.4%,91,National Treasure: Book of Secrets,52
Dec 21-25,Christmas long wknd,"$220,037,531",-,"$249,297,664",-,67,National Treasure: Book of Secrets,51
Dec 21-23,,"$147,707,092",-1.1%,"$159,705,268",-1%,78,National Treasure: Book of Secrets,51
Dec 14-16,,"$149,415,413",+119.3%,"$161,252,186",+93.9%,105,I Am Legend,50
Dec 7-9,,"$68,128,819",-0.5%,"$83,158,657",-1.5%,124,The Golden Compass,49
Nov 30-Dec 2,Post-Thanksgiving,"$68,453,426",-51.1%,"$84,456,667",-47.9%,121,Enchanted,48
Nov 23-25,Thanksgiving 3-Day,"$139,986,104",+54.8%,"$162,176,916",+55.1%,120,Enchanted,47
Nov 22-25,Thanksgiving 4-Day,"$169,169,508",-,"$193,662,361",-,55,Enchanted,47
Nov 21-25,Thanksgiving 5-Day,"$200,185,564",-,"$228,209,311",-,56,Enchanted,47
Nov 16-18,,"$90,445,557",-4%,"$104,572,430",-7.9%,116,Beowulf,46
Nov 9-11,,"$94,231,894",-20.8%,"$113,590,417",-15.8%,130,Bee Movie,45
Nov 2-4,,"$118,917,527",+46.4%,"$134,982,945",+31.8%,113,American Gangster,44
Oct 26-28,,"$81,239,698",+17.9%,"$102,425,272",+13%,129,Saw IV,43
Oct 19-21,,"$68,917,610",-14.2%,"$90,610,321",-9.4%,142,30 Days of Night,42
Oct 12-14,,"$80,316,757",+27.3%,"$100,014,244",+18.3%,140,Why Did I Get Married?,41
Oct 5-8,Indig. Peoples' Day wknd,"$71,979,952",-,"$92,216,061",-,57,The Game Plan,40
Oct 5-7,,"$63,082,114",-13.4%,"$84,553,458",-7.2%,129,The Game Plan,40
Sep 28-30,,"$72,818,734",-3.1%,"$91,136,426",-6.2%,133,The Game Plan,39
Sep 21-23,,"$75,128,042",+24.5%,"$97,200,703",+22.5%,133,Resident Evil: Extinction,38
