date,occasion,top10_gross,top10_wow_change,overall_gross,overall_wow_change,num_releases,top_release,week_no
"Dec 30-Jan 2, 2023",New Year's long wknd,"$134,622,744",-,"$136,047,635",-,39,Avatar: The Way of Water,52
"Dec 30-Jan 1, 2023",,"$102,074,088",+8.6%,"$103,224,144",+9%,41,Avatar: The Way of Water,52
Dec 23-26,Christmas long wknd,"$141,716,017",-,"$142,814,390",-,33,Avatar: The Way of Water,51
Dec 23-25,,"$93,952,740",-37.9%,"$94,711,196",-38.1%,35,Avatar: The Way of Water,51
Dec 16-18,World Cup (Qatar),"$151,354,815",+355.1%,"$152,947,812",+305.6%,50,Avatar: The Way of Water,50
Dec 9-11,World Cup (Qatar),"$33,258,801",-32.4%,"$37,708,268",-28.4%,58,Black Panther: Wakanda Forever,49
Dec 2-4,Post-ThanksgivingWorld Cup (Qatar),"$49,166,499",-45.2%,"$52,669,526",-43.8%,54,Black Panther: Wakanda Forever,48
Nov 25-27,Thanksgiving 3-DayWorld Cup (Qatar),"$89,735,916",-9.4%,"$93,780,231",-6.9%,49,Black Panther: Wakanda Forever,47
Nov 24-27,Thanksgiving 4-DayWorld Cup (Qatar),"$106,837,323",-,"$111,394,577",-,36,Black Panther: Wakanda Forever,47
Nov 23-27,Thanksgiving 5-DayWorld Cup (Qatar),"$128,658,959",-,"$134,030,714",-,37,Black Panther: Wakanda Forever,47
Nov 18-20,,"$98,996,721",-52.1%,"$100,684,871",-51.9%,53,Black Panther: Wakanda Forever,46
Nov 11-13,,"$206,857,668",+283.9%,"$209,537,723",+255.6%,51,Black Panther: Wakanda Forever,45
Nov 4-6,,"$53,888,688",-15.2%,"$58,930,348",-13.1%,56,Black Adam,44
Oct 28-30,,"$63,565,774",-42.3%,"$67,841,734",-40.3%,57,Black Adam,43
Oct 21-23,,"$110,164,317",+51.5%,"$113,651,016",+48.9%,58,Black Adam,42
Oct 14-16,,"$72,697,268",+35.2%,"$76,347,045",+29.5%,57,Halloween Ends,41
Oct 7-10,Indig. Peoples' Day wknd,"$61,664,865",-,"$67,265,387",-,45,Smile,40
Oct 7-9,,"$53,759,907",-5.3%,"$58,977,399",-7.8%,67,Smile,40
Sep 30-Oct 2,,"$56,765,793",+1.8%,"$63,993,367",+2.5%,71,Smile,39
Sep 23-25,,"$55,769,690",+29.5%,"$62,432,510",+21.3%,73,Don't Worry Darling,38
Sep 16-18,,"$43,050,766",+26.8%,"$51,471,499",+19%,75,The Woman King,37
Sep 9-11,,"$33,945,638",-19.9%,"$43,236,335",-22.6%,71,Barbarian,36
Sep 2-4,,"$42,395,247",+2.4%,"$55,828,733",+7.1%,65,Top Gun: Maverick,35
Sep 2-5,Labor Day wknd,"$54,205,807",-,"$71,172,772",-,55,Top Gun: Maverick,35
Aug 26-28,,"$41,408,038",-40.2%,"$52,149,248",-33.9%,64,The Invitation,34
Aug 19-21,,"$69,281,199",+25%,"$78,932,546",+20.7%,59,Dragon Ball Super: Super Hero,33
Aug 12-14,,"$55,432,709",-37%,"$65,390,508",-29%,63,Bullet Train,32
Aug 5-7,,"$88,004,513",-6.2%,"$92,090,558",-5.9%,48,Bullet Train,31
Jul 29-31,,"$93,856,999",-24.4%,"$97,884,374",-22.5%,54,DC League of Super-Pets,30
Jul 22-24,,"$124,080,435",-5.4%,"$126,240,948",-4.9%,53,Nope,29
Jul 15-17,,"$131,231,157",-44.7%,"$132,813,074",-44.3%,54,Thor: Love and Thunder,28
Jul 8-10,,"$237,265,821",+25.9%,"$238,358,815",+25.5%,51,Thor: Love and Thunder,27
Jul 1-4,July 4th long wknd,"$221,928,586",-,"$223,580,059",-,40,Minions: The Rise of Gru,26
Jul 1-3,,"$188,498,988",+41.4%,"$189,937,068",+41.1%,54,Minions: The Rise of Gru,26
Jun 24-26,,"$133,333,162",-18.3%,"$134,640,716",-18.2%,56,Elvis,25
Jun 17-19,,"$163,242,107",-23.1%,"$164,531,244",-23.4%,56,Jurassic World: Dominion,24
Jun 10-12,,"$212,413,470",+79.4%,"$214,852,722",+76.6%,57,Jurassic World: Dominion,23
Jun 3-5,,"$118,392,908",-32.2%,"$121,670,438",-31.3%,60,Top Gun: Maverick,22
May 27-29,,"$174,602,102",+144.1%,"$177,229,239",+134.2%,52,Top Gun: Maverick,21
May 27-30,Memorial Day wknd,"$220,038,783",-,"$223,364,859",-,47,Top Gun: Maverick,21
May 20-22,,"$71,518,782",-19.7%,"$75,672,719",-17.5%,54,Doctor Strange in the Multiverse of Madness,20
May 13-15,,"$89,049,541",-59.6%,"$91,763,058",-58.7%,49,Doctor Strange in the Multiverse of Madness,19
May 6-8,,"$220,282,059",+252.4%,"$222,333,899",+232.3%,45,Doctor Strange in the Multiverse of Madness,18
Apr 29-May 1,,"$62,512,297",-30.7%,"$66,904,036",-28.4%,50,The Bad Guys,17
Apr 22-24,,"$90,218,714",-14.8%,"$93,502,811",-12.8%,45,The Bad Guys,16
Apr 15-17,,"$105,898,267",-9.6%,"$107,168,534",-9.7%,40,Fantastic Beasts: The Secrets of Dumbledore,15
Apr 15-18,Easter wknd,"$118,286,160",-,"$119,498,996",-,28,Fantastic Beasts: The Secrets of Dumbledore,15
Apr 8-10,,"$117,176,203",+46%,"$118,700,008",+43%,50,Sonic the Hedgehog 2,14
Apr 1-3,,"$80,235,023",+2.2%,"$83,007,169",+1.2%,52,Morbius,13
Mar 25-27,,"$78,479,529",-2%,"$82,040,448",-1.7%,60,The Lost City,12
Mar 18-20,,"$80,060,996",-19.4%,"$83,455,041",-18.1%,58,The Batman,11
Mar 11-13,,"$99,316,599",-39.2%,"$101,939,737",-38.6%,53,The Batman,10
Mar 4-6,,"$163,405,808",+197.1%,"$166,066,890",+172.7%,55,The Batman,9
Feb 25-27,,"$55,006,939",-39%,"$60,906,460",-35.6%,54,Uncharted,8
Feb 18-21,Presidents' Day wknd,"$106,169,516",-,"$111,455,709",-,51,Uncharted,7
Feb 18-20,,"$90,159,064",+79%,"$94,583,877",+75.7%,52,Uncharted,7
Feb 11-13,,"$50,371,632",-9.8%,"$53,837,195",-9.9%,52,Death on the Nile,6
Feb 4-6,,"$55,860,817",+81.4%,"$59,779,023",+70.5%,52,Jackass Forever,5
Jan 28-30,,"$30,794,469",-27%,"$35,052,113",-24%,48,Spider-Man: No Way Home,4
Jan 21-23,,"$42,161,017",-38.3%,"$46,118,823",-35.5%,45,Spider-Man: No Way Home,3
Jan 14-16,,"$68,339,319",+13.3%,"$71,534,496",+13.9%,41,Scream,2
Jan 14-17,MLK wknd,"$81,219,405",-,"$85,074,757",-,37,Scream,2
Jan 7-9,,"$60,318,053",-37%,"$62,796,729",-36.5%,35,Spider-Man: No Way Home,1
